businessID,businessName,contactType,contactDate,notes,createdAt
1,Avery and Sons,Email,2024-03-23,Ask sea cell.,2024-06-01T20:25:50
2,Mckee-Brown,In-person,2020-06-12,Care run sound hair success should.,2023-03-27T21:05:28
3,Brown Group,Phone,2021-02-09,Population important authority can science degree.,2024-03-25T18:42:17
4,Douglas-Morton,Email,2022-10-22,Safe vote hand game.,2021-02-17T05:25:45
5,Downs-Henderson,In-person,2020-03-28,Mission tend nothing oil sit.,2023-01-24T13:24:18
6,"Sutton, Torres and Hayden",Phone,2023-09-22,Reveal boy college indicate.,2024-04-30T20:24:23
7,Stevens-Williamson,Email,2024-01-27,Paper lawyer career personal three effort cold half.,2023-02-22T16:13:47
8,Wallace-Wilcox,Phone,2022-06-13,Understand yourself general everything rise film.,2021-09-07T20:18:39
9,Smith Group,Phone,2021-09-18,Watch clearly guy office floor along.,2023-02-25T02:35:39
10,Camacho LLC,Email,2020-10-27,Clearly interview PM bit end stop dinner.,2020-10-18T12:52:36
11,Rasmussen Inc,Phone,2020-08-30,Blue enjoy later home job fall.,2020-01-24T10:02:14
12,Braun-Wade,Phone,2023-01-30,Finally at opportunity that fast.,2021-02-09T13:52:05
13,"Allen, Rodriguez and Hayes",Email,2020-12-29,Nice single word strategy low.,2023-10-21T09:34:28
14,Mendoza-Lowery,Phone,2024-01-07,Back day interview economic rich side herself.,2024-03-12T10:11:13
15,Palmer Ltd,Email,2020-10-01,Tonight mission guess speak.,2023-09-12T19:58:50
16,Brooks-Martin,In-person,2022-08-30,Democratic head we.,2023-03-09T05:46:14
17,Evans Ltd,Phone,2022-06-07,Assume cultural particularly begin three easy month.,2020-03-31T08:12:35
18,"Miller, Martinez and Hayes",Phone,2024-07-01,Claim marriage church economy chair toward.,2022-01-03T09:24:50
19,Jenkins-Knox,Phone,2020-05-21,Media movie present idea nothing place out.,2020-03-25T08:51:43
20,Roberts-Nichols,Email,2024-05-14,Mr develop knowledge skill produce respond.,2021-01-27T08:48:23
21,Bush and Sons,Phone,2022-02-16,Court community dog.,2021-02-14T16:57:10
22,Brown and Sons,In-person,2020-04-25,Specific ready to opportunity another seven exist stock.,2021-07-25T12:29:01
23,Terry Group,In-person,2021-03-08,Several over people those choice fact practice.,2023-08-26T18:38:04
24,"Henderson, Moore and Kelley",In-person,2021-07-12,Remember matter chance other.,2022-06-30T21:05:01
25,Johnson and Sons,In-person,2023-08-27,Too Mr see put away radio.,2023-07-11T16:12:25
26,Sullivan-Wood,Phone,2020-11-10,Mrs exist street decision piece age.,2023-02-22T19:14:40
27,Vega PLC,Phone,2020-03-30,Next keep speak.,2022-08-03T10:57:09
28,Williamson-Schultz,In-person,2022-10-22,Same charge sing work guess.,2023-01-25T05:49:28
29,"Lamb, Steele and Vasquez",Email,2023-04-02,Decade walk mission focus soldier meet I.,2022-12-01T12:19:02
30,Cross-Mann,Email,2020-04-22,Marriage economic benefit.,2022-05-17T08:21:51
31,Richard-Simpson,Phone,2023-05-28,Myself sign discuss court.,2023-06-24T06:14:38
32,Harrington and Sons,In-person,2020-07-18,Thank level according kid performance decade.,2023-02-11T06:11:15
33,Stevens PLC,Phone,2021-08-30,Ever should seat clear both wall even.,2021-12-05T23:35:19
34,"Mcpherson, Bright and Brown",Phone,2020-11-20,Write clearly against poor.,2020-03-14T17:14:28
35,"Lawrence, Lee and Reeves",Email,2023-05-18,Mission major once.,2023-11-24T18:37:31
36,"Short, Miller and Clarke",Phone,2022-09-27,Report unit finally never.,2023-03-12T13:44:24
37,"Torres, Perez and Conner",Email,2020-05-17,Focus ground half the represent movement simple reveal.,2021-12-07T04:57:30
38,"Ford, Williams and Bryan",Phone,2022-11-09,Small establish magazine total.,2024-05-08T14:38:25
