businessID,businessName,contactType,contactDate,notes,createdAt
1,"Garner, Lewis and Gallegos",Phone,2022-01-04,Back leader plan fine before after.,2023-01-10T17:16:02
2,"Fitzgerald, Barnes and Smith",In-person,2023-09-18,Eye agree rich heart though rest.,2024-03-29T15:59:10
3,"Scott, Cardenas and Harmon",Email,2023-10-27,Position hand house shake.,2021-09-13T14:00:45
4,"Cordova, Harris and Dyer",Email,2021-04-28,President effort against improve.,2021-04-08T01:01:14
5,"Johnson, Wright and Butler",Phone,2024-04-13,Team agent culture campaign form population.,2023-06-03T08:28:04
6,"Acosta, Pena and Bailey",In-person,2022-11-25,Financial project how measure bar.,2022-06-07T22:14:19
7,"Taylor, Holder and Rodgers",In-person,2020-09-01,Against quite huge head throw during ten.,2020-12-27T05:33:30
8,Levy PLC,Email,2022-07-21,Guy answer change until research fight use now.,2021-09-05T12:24:02
9,Trujillo-Hanson,In-person,2023-03-23,Last keep wind visit system.,2023-12-11T15:40:37
10,White and Sons,In-person,2020-11-30,What result similar every miss seat budget.,2021-02-18T14:22:24
11,"Nelson, Anderson and Cooper",In-person,2021-06-21,Yet age job arm idea those information.,2021-01-12T13:38:58
12,"Peterson, Perez and Rocha",Phone,2022-03-05,Such expert decade true scene fight life lead.,2021-09-02T09:25:02
13,Marshall PLC,Email,2024-03-27,Similar within book large.,2022-05-17T21:21:11
14,"Phillips, Gutierrez and Wright",Phone,2020-12-12,Employee room notice well movement report.,2024-06-07T03:34:53
15,Porter-Johnson,Email,2021-11-18,Message media rate.,2024-07-17T03:29:41
16,Ramirez PLC,Email,2020-08-29,Blood American whole car church behavior.,2023-03-23T01:25:01
17,"Allen, Moore and Le",In-person,2022-06-10,Gas doctor kind place four.,2023-07-06T07:21:33
18,Orozco-Rogers,Email,2023-11-17,Give media help include be walk.,2020-05-31T03:11:31
19,Bowen-Thompson,In-person,2023-08-25,Learn early particular several represent stage he.,2020-08-11T22:19:05
20,"Franco, Martin and Mack",Email,2024-02-09,Around standard structure letter indicate perform.,2021-08-19T21:46:20
21,Hill PLC,In-person,2023-03-09,Role ball somebody focus reduce receive choice.,2023-04-18T18:07:04
22,Wright-Hamilton,Email,2022-10-27,Type single ok today yeah home guy.,2023-03-14T10:03:10
23,"Ponce, Boyle and Garner",Email,2023-11-25,Than low top carry plant.,2024-06-04T02:49:11
24,Parsons-West,Phone,2022-01-13,Individual whether run blue science society activity.,2024-05-14T08:50:27
25,Williams-Wilson,Email,2024-04-09,Positive mission season them instead relate pull task.,2022-04-30T22:08:48
26,"Powers, Collins and Fernandez",In-person,2022-07-13,Language audience writer allow road cause.,2021-07-27T15:27:08
27,"Ward, Clark and Levy",In-person,2023-12-09,Born believe medical bar.,2024-03-14T20:38:29
28,Cox and Sons,Phone,2024-02-15,Best much test data.,2020-10-31T06:51:36
29,Schmidt-Hunt,Email,2022-02-12,Seven physical government marriage available region.,2021-08-14T07:58:28
30,"Mills, Knight and Williams",In-person,2021-06-06,Night forget development cause decide door.,2020-10-27T21:20:10
31,"Stevenson, Brown and Perry",Phone,2023-06-15,Quality design along drug arm rise.,2020-06-13T03:26:05
32,"Smith, Anderson and George",Email,2023-10-04,Mission style smile century surface people fact high.,2022-01-16T04:59:44
33,Rosales-Walker,In-person,2022-10-29,Plan account analysis idea available next foreign.,2021-05-09T01:29:16
34,"Henderson, Ferguson and White",Phone,2020-03-25,Become under item manager top church his.,2024-07-11T08:20:02
35,Brown Inc,In-person,2020-12-12,Usually sense song last behind.,2021-11-27T04:03:53
36,Mason LLC,Email,2020-02-06,More box perhaps however.,2021-03-18T19:51:45
37,"Medina, Howard and Wright",In-person,2020-10-09,Politics argue far none particularly consumer.,2020-05-24T01:33:54
38,Dunlap-Fox,In-person,2022-07-15,Prevent huge not stop present.,2021-12-28T03:44:42
39,Bowen Ltd,Email,2023-07-21,Fear by feeling then.,2022-05-03T08:16:48
40,Carter Ltd,In-person,2024-04-30,Often easy environment book practice.,2020-05-12T08:56:21
41,"Paul, Brewer and Pena",Phone,2024-05-12,Life worker light late go green.,2020-10-22T10:57:07
42,"Brooks, Guzman and Lee",In-person,2023-05-07,Produce time although law.,2023-08-06T08:35:57
43,"Lee, Bass and Cherry",In-person,2020-07-22,Appear leg popular fear.,2024-05-20T13:43:45
44,Vincent-Owens,Phone,2023-04-29,Image between before teach table forget cup simply.,2022-11-04T19:05:06
45,Watkins-Wong,Email,2023-04-13,Property tonight laugh director more.,2020-03-06T04:17:03
46,"Bennett, Huynh and Franco",In-person,2023-10-04,End region state.,2023-04-25T05:59:29
47,Chung-Perez,Email,2024-01-21,Present surface reduce detail.,2021-08-11T02:03:23
