logID,businessID,userID,logDate,logType,notes,createdAt
1,66,1531,2023-09-04T20:02:22,Event,Client invited to product launch event.,2024-06-20T20:02:22
2,82,1449,2022-10-02T20:02:22,Phone,Scheduled a demo for the new software.,2024-06-12T20:02:22
3,151,1953,2024-06-27T20:02:22,Phone,Scheduled a demo for the new software.,2024-05-19T20:02:22
4,46,620,2024-03-30T20:02:22,Phone,Discussed system upgrade options over the phone.,2024-07-01T20:02:22
5,110,236,2024-05-27T20:02:22,In Person,Discussed security measures and protocols.,2024-06-11T20:02:22
6,187,1761,2022-05-08T20:02:22,In Person,On-site meeting to review network infrastructure.,2024-07-17T20:02:22
7,56,661,2023-10-11T20:02:22,Phone,Answered client questions about the new policy.,2024-05-23T20:02:22
8,12,849,2023-08-02T20:02:22,Phone,Scheduled a demo for the new software.,2024-05-31T20:02:22
9,19,1942,2022-12-04T20:02:22,Phone,Answered client questions about the new policy.,2024-07-06T20:02:22
10,15,1284,2024-07-20T20:02:22,Event,Attended a tech conference with the client.,2024-05-16T20:02:22
11,184,178,2021-11-25T20:02:22,Phone,Scheduled a demo for the new software.,2024-07-30T20:02:22
12,91,286,2022-07-24T20:02:22,Phone,Scheduled a demo for the new software.,2024-06-24T20:02:22
13,9,402,2024-05-24T20:02:22,Event,Attended a tech conference with the client.,2024-05-21T20:02:22
14,192,1054,2022-07-19T20:02:22,Phone,Discussed system upgrade options over the phone.,2024-06-03T20:02:22
15,127,868,2022-07-05T20:02:22,Email,Sent client a report on project progress.,2024-05-26T20:02:22
16,143,1403,2023-11-15T20:02:22,Event,Attended a tech conference with the client.,2024-08-01T20:02:22
17,72,1654,2023-10-21T20:02:22,Event,Client attended a workshop on digital transformation.,2024-06-17T20:02:22
18,170,1401,2022-11-20T20:02:22,Phone,Answered client questions about the new policy.,2024-06-26T20:02:22
19,101,1997,2022-08-18T20:02:22,Event,Participated in a joint webinar on cybersecurity.,2024-07-10T20:02:22
20,56,1201,2022-03-11T20:02:22,Phone,Answered client questions about the new policy.,2024-05-08T20:02:22
21,44,802,2022-05-25T20:02:22,In Person,Met client to discuss upcoming IT project.,2024-05-19T20:02:22
22,30,10,2022-10-03T20:02:22,Phone,Discussed system upgrade options over the phone.,2024-08-02T20:02:22
23,157,1699,2022-03-02T20:02:22,Email,Discussed project timeline via email.,2024-07-13T20:02:22
24,168,307,2023-09-12T20:02:22,In Person,On-site meeting to review network infrastructure.,2024-08-01T20:02:22
25,93,44,2023-07-02T20:02:22,Event,Attended a tech conference with the client.,2024-07-25T20:02:22
26,30,1306,2023-03-21T20:02:22,In Person,Presentation on new product features.,2024-06-08T20:02:22
27,28,1847,2022-06-25T20:02:22,Email,Followed up on the status of the service request.,2024-05-19T20:02:22
28,143,790,2024-01-10T20:02:22,Phone,Client called to find out account balance.,2024-07-15T20:02:22
29,61,269,2022-05-15T20:02:22,Event,Participated in a joint webinar on cybersecurity.,2024-04-30T20:02:22
30,110,970,2023-01-14T20:02:22,In Person,Presentation on new product features.,2024-07-15T20:02:22
31,138,1353,2023-11-01T20:02:22,Email,Discussed project timeline via email.,2024-06-04T20:02:22
32,69,1906,2023-07-11T20:02:22,In Person,Presentation on new product features.,2024-06-04T20:02:22
33,163,1932,2024-01-08T20:02:22,Email,Followed up on the status of the service request.,2024-05-06T20:02:22
34,139,1673,2024-02-17T20:02:22,Event,Attended a tech conference with the client.,2024-05-17T20:02:22
35,46,1427,2024-01-10T20:02:22,Email,Client requested additional resources via email.,2024-07-15T20:02:22
36,190,845,2023-05-08T20:02:22,In Person,Met client to discuss upcoming IT project.,2024-05-30T20:02:22
37,194,1754,2024-04-25T20:02:22,Event,Client attended a workshop on digital transformation.,2024-06-22T20:02:22
38,193,741,2022-04-01T20:02:22,Phone,Discussed system upgrade options over the phone.,2024-06-25T20:02:22
39,135,231,2021-12-01T20:02:22,Email,Sent client a report on project progress.,2024-05-06T20:02:22
40,62,503,2023-08-10T20:02:22,In Person,Presentation on new product features.,2024-06-11T20:02:22
41,181,153,2023-04-01T20:02:22,In Person,On-site meeting to review network infrastructure.,2024-06-10T20:02:22
42,182,919,2022-09-29T20:02:22,Event,Client attended a workshop on digital transformation.,2024-06-21T20:02:22
43,70,1371,2024-04-10T20:02:22,Phone,Discussed system upgrade options over the phone.,2024-06-17T20:02:22
44,132,1383,2021-12-06T20:02:22,In Person,Met client to discuss upcoming IT project.,2024-07-27T20:02:22
45,100,1542,2024-05-10T20:02:22,Event,Attended a tech conference with the client.,2024-07-28T20:02:22
46,189,567,2022-04-05T20:02:22,In Person,Presentation on new product features.,2024-05-05T20:02:22
47,93,1262,2023-01-29T20:02:22,In Person,Discussed security measures and protocols.,2024-05-19T20:02:22
48,190,1326,2022-10-18T20:02:22,Email,Discussed project timeline via email.,2024-06-19T20:02:22
49,13,182,2021-11-22T20:02:22,Email,Followed up on the status of the service request.,2024-05-27T20:02:22
50,100,1980,2024-03-05T20:02:22,Phone,Discussed system upgrade options over the phone.,2024-07-10T20:02:22
51,119,29,2024-04-25T20:02:22,In Person,On-site meeting to review network infrastructure.,2024-07-11T20:02:22
52,20,33,2024-06-08T20:02:22,Event,Client invited to product launch event.,2024-06-12T20:02:22
53,59,1223,2023-12-22T20:02:22,Email,Discussed project timeline via email.,2024-05-12T20:02:22
54,63,768,2024-06-23T20:02:22,In Person,Met client to discuss upcoming IT project.,2024-07-25T20:02:22
55,184,1617,2023-07-19T20:02:22,Event,Client invited to product launch event.,2024-05-30T20:02:22
56,142,603,2023-04-18T20:02:22,Event,Attended a tech conference with the client.,2024-05-01T20:02:22
57,112,465,2023-10-25T20:02:22,Phone,Discussed system upgrade options over the phone.,2024-06-10T20:02:22
58,47,1818,2022-05-20T20:02:22,In Person,Met client to discuss upcoming IT project.,2024-07-08T20:02:22
59,160,793,2023-04-21T20:02:22,Event,Client invited to product launch event.,2024-07-15T20:02:22
60,107,1478,2022-05-24T20:02:22,In Person,Met client to discuss upcoming IT project.,2024-06-03T20:02:22
61,8,364,2021-12-16T20:02:22,In Person,On-site meeting to review network infrastructure.,2024-08-04T20:02:22
62,136,1152,2023-06-04T20:02:22,Phone,Discussed system upgrade options over the phone.,2024-06-19T20:02:22
63,86,601,2024-01-19T20:02:22,In Person,Met client to discuss upcoming IT project.,2024-05-18T20:02:22
64,38,1412,2023-01-20T20:02:22,Phone,Scheduled a demo for the new software.,2024-07-31T20:02:22
65,72,718,2023-02-05T20:02:22,Email,Followed up on the status of the service request.,2024-07-09T20:02:22
66,154,1644,2022-03-17T20:02:22,In Person,Presentation on new product features.,2024-07-16T20:02:22
67,70,1151,2022-09-15T20:02:22,Email,Sent client a report on project progress.,2024-07-21T20:02:22
68,47,1078,2022-10-05T20:02:22,In Person,Met client to discuss upcoming IT project.,2024-06-07T20:02:22
69,48,1952,2022-03-25T20:02:22,Email,Discussed project timeline via email.,2024-07-11T20:02:22
70,149,995,2023-06-29T20:02:22,Event,Client attended a workshop on digital transformation.,2024-06-25T20:02:22
71,2,1098,2024-02-19T20:02:22,Event,Participated in a joint webinar on cybersecurity.,2024-05-22T20:02:22
