logID,businessID,userID,logDate,logType,notes,createdAt
1,10,48,2023-01-27T20:15:49,Phone,Answered client questions about the new policy.,2024-04-30T20:15:49
2,4,43,2022-11-22T20:15:49,In Person,Met client to discuss upcoming IT project.,2024-07-01T20:15:49
3,15,68,2022-04-04T20:15:49,Phone,Scheduled a demo for the new software.,2024-07-09T20:15:49
4,20,21,2022-12-07T20:15:49,Event,Client invited to product launch event.,2024-07-10T20:15:49
5,16,22,2024-07-10T20:15:49,Email,Discussed project timeline via email.,2024-07-17T20:15:49
6,1,41,2024-04-28T20:15:49,In Person,Discussed security measures and protocols.,2024-07-10T20:15:49
7,19,29,2022-11-02T20:15:49,In Person,Presentation on new product features.,2024-06-15T20:15:49
8,1,41,2023-11-26T20:15:49,Event,Participated in a joint webinar on cybersecurity.,2024-05-15T20:15:49
9,8,1,2024-06-08T20:15:49,Email,Sent client a report on project progress.,2024-05-16T20:15:49
10,12,28,2021-11-10T20:15:49,Email,Sent client a report on project progress.,2024-05-05T20:15:49
11,8,1,2024-03-14T20:15:49,Email,Followed up on the status of the service request.,2024-05-11T20:15:49
12,15,71,2022-04-15T20:15:49,In Person,Presentation on new product features.,2024-07-01T20:15:49
13,5,59,2022-03-17T20:15:49,Email,Followed up on the status of the service request.,2024-06-22T20:15:49
14,17,45,2024-03-18T20:15:49,Email,Followed up on the status of the service request.,2024-05-23T20:15:49
15,7,66,2024-03-29T20:15:49,Event,Client attended a workshop on digital transformation.,2024-06-11T20:15:49
16,15,71,2022-02-08T20:15:49,Event,Participated in a joint webinar on cybersecurity.,2024-07-22T20:15:49
17,19,51,2022-02-20T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-07-25T20:15:49
18,13,86,2024-07-23T20:15:49,Email,Sent client a report on project progress.,2024-05-29T20:15:49
19,19,42,2023-07-19T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-04-27T20:15:49
20,2,32,2022-06-23T20:15:49,Phone,Client called to find out account balance.,2024-06-22T20:15:49
21,15,68,2023-01-08T20:15:49,Phone,Client called to find out account balance.,2024-08-02T20:15:49
22,13,80,2023-06-02T20:15:49,In Person,Discussed security measures and protocols.,2024-06-29T20:15:49
23,16,12,2022-05-02T20:15:49,In Person,Met client to discuss upcoming IT project.,2024-07-26T20:15:49
24,4,63,2024-07-12T20:15:49,Phone,Scheduled a demo for the new software.,2024-07-25T20:15:49
25,19,51,2023-07-24T20:15:49,In Person,On-site meeting to review network infrastructure.,2024-08-01T20:15:49
26,9,96,2022-12-02T20:15:49,Phone,Scheduled a demo for the new software.,2024-05-30T20:15:49
27,5,54,2022-11-10T20:15:49,In Person,Discussed security measures and protocols.,2024-06-05T20:15:49
28,13,86,2024-08-02T20:15:49,Phone,Answered client questions about the new policy.,2024-06-19T20:15:49
29,5,87,2023-03-13T20:15:49,Email,Client requested additional resources via email.,2024-05-10T20:15:49
30,2,7,2022-12-26T20:15:49,In Person,Presentation on new product features.,2024-06-11T20:15:49
31,19,49,2021-11-25T20:15:49,Email,Sent client a report on project progress.,2024-07-25T20:15:49
32,5,88,2021-11-13T20:15:49,Event,Client invited to product launch event.,2024-06-27T20:15:49
33,18,89,2021-11-22T20:15:49,Email,Client requested additional resources via email.,2024-06-17T20:15:49
34,12,50,2022-12-20T20:15:49,Email,Followed up on the status of the service request.,2024-07-18T20:15:49
35,1,34,2024-07-18T20:15:49,Event,Participated in a joint webinar on cybersecurity.,2024-07-14T20:15:49
36,13,80,2023-10-22T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-06-24T20:15:49
37,5,10,2022-03-02T20:15:49,In Person,Met client to discuss upcoming IT project.,2024-06-24T20:15:49
38,20,72,2023-12-30T20:15:49,Phone,Scheduled a demo for the new software.,2024-05-07T20:15:49
39,13,83,2023-05-11T20:15:49,Phone,Scheduled a demo for the new software.,2024-06-09T20:15:49
40,7,66,2022-12-31T20:15:49,Email,Client requested additional resources via email.,2024-05-03T20:15:49
41,6,35,2023-10-30T20:15:49,Email,Followed up on the status of the service request.,2024-05-13T20:15:49
42,17,45,2022-12-01T20:15:49,Event,Participated in a joint webinar on cybersecurity.,2024-06-14T20:15:49
43,10,48,2022-11-27T20:15:49,Email,Client requested additional resources via email.,2024-07-24T20:15:49
44,19,49,2023-02-07T20:15:49,Phone,Client called to find out account balance.,2024-06-05T20:15:49
45,7,78,2022-12-19T20:15:49,Email,Client requested additional resources via email.,2024-05-15T20:15:49
46,19,20,2022-06-25T20:15:49,Event,Participated in a joint webinar on cybersecurity.,2024-06-23T20:15:49
47,14,62,2024-02-07T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-07-06T20:15:49
48,1,34,2023-07-22T20:15:49,In Person,Presentation on new product features.,2024-07-19T20:15:49
49,3,46,2021-11-27T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-05-11T20:15:49
50,10,48,2022-07-28T20:15:49,Email,Followed up on the status of the service request.,2024-06-21T20:15:49
51,5,17,2023-08-04T20:15:49,In Person,On-site meeting to review network infrastructure.,2024-06-15T20:15:49
52,17,9,2023-04-27T20:15:49,Phone,Scheduled a demo for the new software.,2024-07-17T20:15:49
53,19,42,2024-01-09T20:15:49,In Person,On-site meeting to review network infrastructure.,2024-05-05T20:15:49
54,19,57,2023-01-09T20:15:49,Email,Followed up on the status of the service request.,2024-07-16T20:15:49
55,10,30,2021-11-24T20:15:49,Event,Participated in a joint webinar on cybersecurity.,2024-07-22T20:15:49
56,19,42,2022-04-20T20:15:49,Event,Client invited to product launch event.,2024-05-11T20:15:49
57,12,25,2022-04-05T20:15:49,Email,Client requested additional resources via email.,2024-05-13T20:15:49
58,13,4,2024-03-05T20:15:49,Event,Participated in a joint webinar on cybersecurity.,2024-07-29T20:15:49
59,17,81,2022-05-27T20:15:49,Event,Client attended a workshop on digital transformation.,2024-05-31T20:15:49
60,10,98,2024-03-02T20:15:49,In Person,Discussed security measures and protocols.,2024-05-11T20:15:49
61,19,27,2022-07-03T20:15:49,In Person,Discussed security measures and protocols.,2024-07-18T20:15:49
62,8,1,2022-11-29T20:15:49,In Person,On-site meeting to review network infrastructure.,2024-05-03T20:15:49
63,7,91,2022-08-06T20:15:49,Email,Followed up on the status of the service request.,2024-06-26T20:15:49
64,13,80,2022-11-26T20:15:49,Email,Client requested additional resources via email.,2024-05-09T20:15:49
65,9,64,2023-06-06T20:15:49,In Person,Discussed security measures and protocols.,2024-07-11T20:15:49
66,10,74,2024-02-08T20:15:49,In Person,Met client to discuss upcoming IT project.,2024-05-07T20:15:49
67,4,63,2022-09-21T20:15:49,Event,Client invited to product launch event.,2024-06-18T20:15:49
68,17,18,2024-07-23T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-05-27T20:15:49
69,17,18,2023-11-23T20:15:49,Event,Client invited to product launch event.,2024-06-09T20:15:49
70,18,6,2023-11-12T20:15:49,Phone,Client called to find out account balance.,2024-07-13T20:15:49
71,18,70,2024-02-21T20:15:49,In Person,Met client to discuss upcoming IT project.,2024-06-13T20:15:49
72,13,86,2024-01-03T20:15:49,Phone,Client called to find out account balance.,2024-07-16T20:15:49
73,7,100,2024-03-15T20:15:49,Event,Attended a tech conference with the client.,2024-07-04T20:15:49
74,10,48,2022-07-06T20:15:49,Event,Attended a tech conference with the client.,2024-06-27T20:15:49
75,17,56,2021-12-13T20:15:49,In Person,Discussed security measures and protocols.,2024-07-19T20:15:49
76,4,44,2022-02-17T20:15:49,Event,Participated in a joint webinar on cybersecurity.,2024-05-01T20:15:49
77,19,16,2022-06-09T20:15:49,Event,Client attended a workshop on digital transformation.,2024-07-08T20:15:49
78,6,94,2022-05-05T20:15:49,Email,Followed up on the status of the service request.,2024-05-11T20:15:49
79,6,35,2023-10-02T20:15:49,Email,Sent client a report on project progress.,2024-07-02T20:15:49
80,15,61,2022-10-27T20:15:49,Event,Client attended a workshop on digital transformation.,2024-05-12T20:15:49
81,7,78,2023-05-31T20:15:49,Email,Discussed project timeline via email.,2024-05-28T20:15:49
82,16,55,2024-06-18T20:15:49,Phone,Answered client questions about the new policy.,2024-06-06T20:15:49
83,14,8,2024-04-13T20:15:49,Email,Sent client a report on project progress.,2024-06-20T20:15:49
84,4,44,2022-07-01T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-08-04T20:15:49
85,12,25,2022-05-03T20:15:49,Event,Client invited to product launch event.,2024-05-24T20:15:49
86,4,85,2023-09-11T20:15:49,In Person,Met client to discuss upcoming IT project.,2024-07-31T20:15:49
87,7,66,2023-03-19T20:15:49,Event,Client attended a workshop on digital transformation.,2024-05-30T20:15:49
88,17,81,2023-09-10T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-07-30T20:15:49
89,13,4,2024-06-14T20:15:49,Phone,Discussed system upgrade options over the phone.,2024-05-03T20:15:49
90,15,93,2023-06-24T20:15:49,Phone,Answered client questions about the new policy.,2024-05-30T20:15:49
91,7,66,2021-12-01T20:15:49,Phone,Client called to find out account balance.,2024-06-08T20:15:49
92,4,43,2024-01-25T20:15:49,In Person,Presentation on new product features.,2024-07-13T20:15:49
93,9,96,2022-01-28T20:15:49,In Person,Presentation on new product features.,2024-07-25T20:15:49
94,5,54,2021-12-08T20:15:49,Event,Client invited to product launch event.,2024-07-06T20:15:49
95,7,91,2023-08-18T20:15:49,In Person,Presentation on new product features.,2024-06-13T20:15:49
96,10,98,2022-01-06T20:15:49,Event,Client attended a workshop on digital transformation.,2024-07-10T20:15:49
97,4,24,2023-08-15T20:15:49,Email,Followed up on the status of the service request.,2024-07-09T20:15:49
98,11,69,2022-12-26T20:15:49,In Person,Presentation on new product features.,2024-05-08T20:15:49
99,7,90,2022-01-25T20:15:49,Phone,Scheduled a demo for the new software.,2024-06-18T20:15:49
100,13,83,2022-04-16T20:15:49,Phone,Client called to find out account balance.,2024-07-01T20:15:49
